x:y
-73.14	-30.21
-73.14	6.04
-73.14	42.29
-69.66	-48.34
-69.66	-12.09
-69.66	24.16
-59.19	30.21
-59.19	54.37
-52.21	-42.30
-52.21	-18.13
-52.21	18.12
-48.73	-60.42
-48.73	-0.00
-48.73	36.25
-45.24	-6.55
-41.75	-36.26
-41.75	-24.17
-41.75	60.42
-38.26	-6.05
-34.75	-59.92
-34.72	60.90
-31.28	-66.47
-31.28	-54.38
-31.28	18.12
-31.28	42.29
-31.28	54.37
-27.80	72.50
-20.82	-48.34
-20.82	-24.17
-20.82	-0.00
-20.82	24.16
-17.33	-78.55
-10.35	-30.21
-10.35	30.21
-10.35	54.37
-10.35	66.46
-6.87	-60.42
-6.87	-12.09
-6.87	12.08
-6.87	84.58
0.10	-84.59
0.10	-36.26
0.10	48.33
0.25	-60.46
10.57	-54.38
10.57	-18.13
10.57	18.12
10.57	54.37
10.57	78.54
14.05	-72.51
14.05	-0.00
14.05	36.25
17.54	42.79
21.10	-48.37
24.52	-30.21
24.52	42.29
24.52	66.46
28.01	-35.74
31.50	-66.47
31.50	6.04
31.50	18.12
31.58	-6.01
41.96	-36.26
41.96	-24.17
41.96	36.25
41.96	60.42
45.45	-54.38
52.43	-18.13
52.43	6.04
55.76	24.18
55.92	36.25
55.92	48.33
62.89	-48.34
62.89	-24.17
62.89	-0.00
69.87	-0.50
73.35	42.29
73.36	6.04
76.84	-36.25
76.85	-12.09
76.85	24.16
